,funny,user_id,review_id,text,business_id,stars,date,useful,type,cool
2195040,0,r9T-6x5SWCiw8vD06SJzUA,xU9hG6EgvdL0K2j_lBxqCA,"Came in on a Friday evening around 6:30 and was told it would be about a 45min wait, which that was expected. We were seated in less than 30 and had an awesome server named, Chris. Ordered the crab and lobster spring rolls which were great! I got the dynamic duo burger and my girl friend got the burgooshi box which was also great!! I'll be back soon!!",RAh9WCQAuocM7hYM5_6tnw,5,2016-02-20,0,review,0
2195041,0,5CgjjDAic2-FAvCtiHpytA,vuGee63N7LsLj6JWw9mzsg,"I can't believe it took me two years living in Charlotte to finally eat here!

Bonus-We had a great parking space and didn't have to park far at all!!

Came here for my husband's birthday. We were quoted 25-30 minutes but didn't wait long at all. Maybe 15 minutes. They have a good mix of specialty drinks. I wanted to get a milkshake but was too full to get it. 

We got the crab dip. I saw it was highly recommended on YELP and was very pleased. It's a very large portion. We could barely finish it. The dip was creamy with large chunks of crab in it. Chips were large and crispy. That sauce that's on it really made it delicious. Everything mixed together was just amazing!! 

I got the shrimp tempura roll. I was surprised at how big it was. It was awesome, especially with the siracha sauce. I also got the Taste Explosion roll. It was my first roll like that. It was flat with ground beef, jalepenos, onions, some type of amazing sauce with a tomato and cilantro sauce on it with cheese. It was wrapped with seaweed and rice. It was delicious!! It was large and very filling. Ground beef was amazing. 

My husband got the firecracker roll. He said it was one of the best sushi rolls he's ever had. He also said he can tell the ingredients were really good quality and very fresh. 

I secretly told our server, Bryan that it was my husband's birthday and he made it so special. They came out and sang to him and gave us a birthday cake! The cake was huge! Chocolate layers with an awesome layer up top. Bryan was such a great server. He was very helpful and was super attentive. Highly recommended!!",RAh9WCQAuocM7hYM5_6tnw,5,2016-03-30,1,review,1
2195042,0,UgYi68PFYWqOjY0Eb_wZGA,dWmka8NKP-BGSiGC5Pj81A,"The concept of this place is pretty brilliant! Burger bar, sushi bar, full bar? Don't mind if I do. As someone mentioned the menu is kind of outrageously large and that usually means lesser quality and a slower kitchen. I appreciate a restaurant that does a small menu phenomenally.

It took about 15 minutes (3 stops by the waitress) and finally her recommendation before I placed my order. I ordered the original cowfish bento box with a Philly roll, slider, sweet potato fries, edamame, and cucumber salad. The sweet potato fries were delicious and the cucumber salad is literally (the original definition, not the new ridiculous one) the best I've had at any sushi bar. Everything else was pretty basic and the service was pretty slow. They messed up my sister's order. My friend and I were nearly done eating by the time she got her meal. The manager brought it out and comp'ed it.

We ordered dessert too! A tower of lemon pound cake, ice cream, whipped cream, and berries. It was amazing. The three of us couldn't finish it! After dessert we waited for our check. We were chatting, but after 30 minutes or more we had to ASK for our check. The atmosphere was nice and maybe I'll try going at a less busy time before I make a final ruling on the service. I'll be back.",RAh9WCQAuocM7hYM5_6tnw,3,2013-09-26,0,review,0
2195043,0,Xh0dBZdYNBW2QvU93U3uLQ,c7vHtirHCrGAUHHpzXCdSQ,"We had a great lunch at Cowfish on our visit to Charlotte. Although we had to wait an hour, there was enough in the area to keep us occupied and the hostesses were willing to text us rather than carry around one of those buzzers. Once we were seated the server was quick and friendly. The menu is huge, but we quickly decided on a few items. My boyfriend got the seared tuna BLT and I had a mix box with a sushi roll and a burger. We also ordered the fried pickle appetizer -- so good! We'll definitely be back next time we're in town.",RAh9WCQAuocM7hYM5_6tnw,4,2013-03-10,0,review,0
2195044,0,Wt-dSc-L33pKiQ4mdZv3nQ,xuUxj3J79Rgl7VNMh8sYgg,This is a nice addition to the South Park area. Food was great and the service was good. It's a great place for groups and foodies. You can get a great burger or some delicious sushi all in one. I went in a Friday night. The place was packed and at 530 there was already an hour wait. The place seemed clean and the atmosphere was warm. Probably will return.,RAh9WCQAuocM7hYM5_6tnw,4,2014-12-27,0,review,1
2195045,0,oZ8KVsFvz9JfOzKu-S8Jzg,S39fPd5pw5-TtN4SfVNfOA,"Not a big fan.  A bit over hyped for me. Food is OK, but nothing special.",RAh9WCQAuocM7hYM5_6tnw,2,2014-07-24,0,review,0
2195046,0,9YuuHXoHsJ4tqefpNWu1Kg,5luzKeRTRpWT8aJQ4lt67A,Got the mixed box with sliders and sushi.  Wasn't impressed by either.  Long wait too.,RAh9WCQAuocM7hYM5_6tnw,3,2015-04-08,0,review,0
2195047,0,c1zbnThI9IsyitagLrvtFA,xUJHlwYVUSGJNwMYavxmdQ,"Great food, great drinks, great atmosphere. The outdoor couches made the long wait a pleasurable experience.",RAh9WCQAuocM7hYM5_6tnw,5,2013-08-12,0,review,0
2195048,0,g2prozZ3UHPGZ18MYFF1Fg,Z-41caRlMLUL59ffjB0RIw,"One of my favorite spots.  I've not been here and didn't have to wait, BUT I assure you,  this spot is worth every minute.  I try something new everytime and I'm increasingly satisfied.  It's a sushi lover's dream with cool eclectic vibes.  My only complaint is the location and that's merely a non factor.  If you haven't been,  you're doing yourself a disfavor.",RAh9WCQAuocM7hYM5_6tnw,5,2016-07-13,0,review,0
2195049,0,MzP4LEGfw3DKFVhB5l6JAA,He4vEvvx5Mt7yLMmzasJlg,"I had the top three sushi rolls at the sushi bar. All three were amazing and the service was excellent. However, I recommend you get your rolls a little smaller than they come they were a little hard to eat",RAh9WCQAuocM7hYM5_6tnw,5,2015-02-16,0,review,0
